단어,점수
굴욕적,-2.0
굶는,-1.0
굶다,-1.0
굶주려서,-1.0
굶주리고,-1.0
굶주리다,-1.0
굶주린,-1.0
굼뜨게,-1.0
굼뜨고,-1.0
굼뜨다,-1.0
굽신,-2.0
굽신거리다,-2.0
굽신굽신,-2.0
굽신굽신하다,-2.0
굽신대다,-2.0
굽신하다,-2.0
굽실,-2.0
굽실거리다,-2.0
굽실굽실,-2.0
굽실굽실하다,-2.0
굽실대다,-2.0
굽실하다,-2.0
궁상스러운,-2.0
궁상스럽다,-2.0
궁색하게,-2.0
궁색하다,-2.0
궁색하여,-2.0
궁핍하다,-2.0
궁핍히,-2.0
궁하고,-2.0
궁하다,-2.0
궂게,-1.0
궂다,-1.0
권태,-1.0
권태감,-1.0
권태기,-1.0
권태로이,-1.0
권태롭다,-1.0
권태를,-1.0
궐기할,1.0
귀머거리,-1.0
귀먹은,-1.0
귀여운,2.0
귀여워하거나,2.0
귀여워하다,2.0
귀여워할,2.0
귀염성,2.0
귀염성스럽다,2.0
귀염성스레,2.0
귀염을,2.0
귀엽게,2.0
귀엽고,2.0
귀엽다,2.0
귀엽도록,2.0
귀요미,2.0
귀중하게,2.0
귀중하다,2.0
귀중한,2.0
귀중히,2.0
귀차니즘,-1.0
귀찮거나,-1.0
귀찮게,-1.0
귀찮고,-1.0
귀찮다,-1.0
귀찮아하도록,-1.0
귀찮으면서도,-1.0
귀찮은,-2.0
귀찮을,-1.0
귀찮음,-1.0
귀하게,2.0
귀하고,2.0
귀하다,2.0
귀하며,2.0
귀한,2.0
균의,-1.0
그러하다,1.0
그럴듯하다,1.0
그럴싸하다,1.0
그르치다,-1.0
그른,-2.0
그릇되거나,-2.0
그릇되게,-2.0
그릇되다,-2.0
그릇된,-2.0
그리운,1.0
그리움,1.0
그리웁다,1.0
그리워지다,1.0
그리워하거나,1.0
그리워하다,1.0
그리워함,1.0
그린라이트,2.0
그립다,1.0
그만두게,-1.0
그만두다,-1.0
그만두어,-1.0
그윽하고,1.0
극락,1.0
극복하고,1.0
극복하다,1.0
극성맞게,-1.0
극성맞다,-1.0
극진하게,2.0
극진하다,2.0
극혐,-2.0
근사하다,2.0
근심,-1.0
근심과,-1.0
근심스럽거나,-1.0
근심스럽고,-1.0
근심으로,-1.0
근심이,-1.0
근심이나,-1.0
근심하거나,-1.0
근심하고,-1.0
근심하는,-1.0
근심하다,-1.0
근심하며,-1.0
근심함,-1.0
근심함을,-1.0
근지럽고,-1.0
근질근질하다,-1.0
근하다,2.0
긁어,0.0
금사빠,-1.0
금지되다,-2.0
금지하려,-2.0
금지함,-2.0
급하게,-1.0
급하고,-1.0
급하다,-1.0
긍가하다,2.0
긍정,1.0
긍정적,1.0
긍정적으로,2.0
긍정적이고,2.0
긍정적인,2.0
긍정하는,2.0
긍정할,2.0
긍지,2.0
긍지를,2.0
기관지염,-1.0
기대,1.0
기대가,1.0
기대되는,2.0
기대된다,1.0
기대하다,1.0
기리어,1.0
기막히다,1.0
기만하다,-2.0
기모띠,1.0
기미하다,2.0
기부하다,1.0
기뻐,2.0
기뻐서,2.0
기뻐하고,2.0
기뻐하는,2.0
기뻐하다,2.0
기뻐함과,2.0
기쁘거나,2.0
기쁘게,2.0
기쁘고,2.0
기쁘다,2.0
기쁜,2.0
기쁨,2.0
기쁨과,2.0
기쁨을,2.0
기쁨이나,2.0
기운차게,2.0
기운차고,2.0
기운차다,2.0
기절하듯이,-2.0
기절할,-2.0
기죽다,-2.0
기침,-1.0
기침을,-1.0
기침이,-1.0
기특하고,2.0
기풍,1.0
기피되어,-1.0
기피하여,-1.0
기형으로,-1.0
기회주의적이고,-1.0
긴장되고,-1.0
긴장되다,-1.0
긴장이나,-1.0
긴장하거나,-1.0
긴장하다,-1.0
긴장하여,-1.0
긴절하다,0.0
긴절히,0.0
길막,-1.0
길미,1.0
까꾸러트리다,-1.0
까다로운,-1.0
까다로워,-1.0
까다로이,-1.0
까다롭게,-1.0
까다롭고,-1.0
까다롭다,-1.0
까마득하다,-2.0
까마아득하게,-2.0
까무러질,-2.0
까무러쳐,-1.0
까무러칠,-2.0
까무스름하다,-1.0
까부는,-1.0
까불거나,-1.0
까불까불하고,-1.0
까불다,-1.0
까불며,-1.0
까불어,-1.0
까불어서,-1.0
까비,-1.0
까칠하거나,-1.0
까칠하게,-1.0
까칠하다,-1.0
까탈이,-1.0
