닉네임,날짜,내용,종목
삼전직원soxs삼,2025-01-17T14:18:31+09:00,"7만이 올거같냐? 리라화급 인플레가 안오면 절대 못간다
이번에 임원들은 성과급 차년도에 주식으로 받고
주가 떨구면 그만큼 지급량 감소한다
니들이 삼전 주식 가지고 더 할 수 있는건 주가 떨궈서 놀고먹는 임원들 성과급 박살내는거 뿐이다

그러니 헛된 희망 가지지 말고 떨어져라 기도나 해라ㅋㅋㅋㅋㅋ",005930
국장만하는호구,2025-01-17T14:18:12+09:00,만세,005930
나는3성뿐,2025-01-17T14:16:33+09:00,230주 더사도 평단 59되는데 사야할까요,005930
필랑말랑,2025-01-17T14:15:17+09:00,추매를 해? 말아..?,005930
CvKing,2025-01-17T14:13:19+09:00,그래 쉽게 오르면 재미없지 함 흔들어 보자 딩기딩기,005930
다이소매매,2025-01-17T14:10:42+09:00,얘만보면 피곤하다.. 기술 발전에 기여못하는 기생임원들은 왜자꾸 두냐,005930
견디라고,2025-01-17T14:09:01+09:00,여러분들의 생각은?,005930
찐그린애플,2025-01-17T14:05:53+09:00,좋다 좋아 조금만 더 늦게 올라다오,005930
크레이지덕,2025-01-17T14:05:11+09:00,"특별한 이유도없고 ㅎ
그냥 싫은가?",005930
황금뚜꺼비,2025-01-17T14:04:11+09:00,좀더 살까?,005930
장투황태자,2025-01-17T14:02:26+09:00,전저점이나 깨줘라 진짜바닥 구경이라도 하게!,005930
해수어사랑,2025-01-17T14:02:24+09:00,불쌍해서 사봄.,005930
하닉35만,2025-01-17T14:02:12+09:00,닉스 한참떨어질땐 삼성 버려서 벌받는줄알았는데 지금 와보니 삼성 계속들고있었으면 진짜 지옥이였네요... 힘냅시다 저도반년째 닉스 물려있네요...,005930
BounceToBeRich,2025-01-17T14:00:29+09:00,삼전 주주들은 진짜 지루하겠다,005930
국민연금술사,2025-01-17T13:59:29+09:00,"재드래곤 회사경영권 방어하느라
깜빵도 댕겨오고
회사는 1등 반도체 기업에서 이류회사로 전락시켜버리고...
500만명이 주주더만...",005930
say98,2025-01-17T13:59:27+09:00,일딴 조금이라도 추매,005930
테니스나달,2025-01-17T13:57:26+09:00,4만전자 간다 안간다,005930
이불밖은위험행,2025-01-17T13:57:26+09:00,"떨어질거면 확 떨어져서
물타기라도 하지..
몇달째 5만원대에서 뭐하냐 너..",005930
드가자라수고,2025-01-17T13:56:14+09:00,아저씨들 국장말고 미장해요,005930
양치념킨,2025-01-17T13:51:16+09:00,6만원만 가줘...,005930
개브럴티,2025-01-17T13:47:22+09:00,애네들은 기관하고 틀린애들임?,005930
견디라고,2025-01-17T13:47:05+09:00,삼성전자에 투자한 이유,005930
니가돌아가는게더빨라,2025-01-17T13:46:45+09:00,국장하고 싶으신 분들 곱버스도 국장이에요👍,005930
생각없는초보,2025-01-17T13:46:41+09:00,"주린이가 4년하면서 하나 깨우친것은,,
줄때 먹자
일단 진입",005930
신규유입자,2025-01-17T13:44:58+09:00,올해처음 시작햇는데 정신못차리겠습니다..,005930
단타익선,2025-01-17T13:41:22+09:00,가관이구만,005930
