Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
175330,JB금융지주,KOSPI,,17900,3,0,0.0,18080,18080,17700,392125,6994691230,3491989244200,195083198,STK,기타 금융업,금융지주 회사,2013-07-18,12월,김기홍,http://www.jbfg.com,전북특별자치도
138930,BNK금융지주,KOSPI,,10870,1,90,0.83,10880,10890,10740,807095,8738519250,3483147222490,320436727,STK,기타 금융업,금융지주회사,2011-03-30,12월,빈대인,http://www.bnkfg.com,부산광역시
000150,두산,KOSPI,,209500,2,-9000,-4.12,218000,231500,202500,269979,58526861500,3461743432500,16523835,STK,기타 금융업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",1973-06-29,12월,"박정원, 김민철, 문홍성",http://www.doosancorp.co.kr,서울특별시
145020,휴젤,KOSDAQ GLOBAL,우량기업부,269000,1,22000,8.91,248500,272000,248500,128979,34180612000,3390484877000,12604033,KSQ,기초 의약물질 제조업,"보툴리눔톡신, 필러",2015-12-24,12월,"한선호, 문형진 (각자 대표집행임원)",http://www.hugel.co.kr,강원특별자치도
454910,두산로보틱스,KOSPI,,52100,2,-5300,-9.23,55000,56000,50200,1991857,104779883800,3377120958000,64819980,STK,특수 목적용 기계 제조업,협동로봇,2023-10-05,12월,"류정훈, 박인원, 조길성",http://www.doosanrobotics.com,경기도
028050,삼성E&A,KOSPI,,17070,1,760,4.66,16470,17100,16330,480540,8129145420,3345720000000,196000000,STK,"건축기술, 엔지니어링 및 관련 기술 서비스업","산업설비,건물,구축물,토목시설의 설계,시공,공사감리",1996-12-24,12월,남궁홍,http://www.samsungena.com,서울특별시
128940,한미약품,KOSPI,,256000,1,11000,4.49,245000,257500,245000,34969,8822996000,3279613696000,12810991,STK,의약품 제조업,의약품,2010-07-30,12월,박재현,,경기도
462870,시프트업,KOSPI,,54800,1,1100,2.05,54000,55300,54000,69743,3811263400,3196742656000,58334720,STK,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,12월,김형태,http://shiftup.co.kr,서울특별시
022100,포스코DX,KOSPI,,21000,1,1340,6.82,19660,21000,19660,352114,7257882690,3192729309000,152034729,STK,"건축기술, 엔지니어링 및 관련 기술 서비스업",EIC 자동화 엔지니어링 및 IT서비스,2024-01-02,12월,정덕균,http://www.poscodx.com/kor/,경상북도
036460,한국가스공사,KOSPI,,33050,1,1300,4.09,32350,34500,32250,1648971,55280366250,3050944650000,92313000,STK,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",1999-12-15,12월,최연혜,http://www.kogas.or.kr,대구광역시
