Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
096760,JW홀딩스,1.55,-0.33,제약,11577,35083625,225471073100,1
334890,이지스밸류리츠,2.02,-16.44,부동산,67363,292381060,223007438115,2
002150,도화엔지니어링,1.71,-1.19,건설,43843,289152950,224912400000,2
016610,DB금융투자,1.87,-6.08,증권,10835,56681460,221994614470,2
000540,흥국화재,2.25,-2.0,손해보험,46448,157980510,220352272350,2
002630,오리엔트바이오,10.69,303.92,생물공학,7003831,13063460846,219852891270,3
092230,KPX홀딩스,1.01,-8.45,화학,239,12419200,219259127400,1
452260,한화갤러리아,1.68,-20.01,백화점과일반상점,185810,209171815,218479780470,2
004360,세방,1.24,-11.54,항공화물운송과물류,9722,109696100,217608936300,1
084680,이월드,2.5,-9.91,"섬유,의류,신발,호화품",71523,109859093,217956118641,2
003120,일성아이에스,1.63,-0.73,제약,5883,96885740,217189000000,1
109070,주성코퍼레이션,0.0,0.0,통신장비,0,0,216521943000,1
011000,진원생명과학,3.96,11.74,생물공학,2199629,5813458180,214904808975,3
003580,HLB글로벌,3.66,0.46,판매업체,89799,398763455,215575771580,3
001130,대한제분,1.08,-8.06,식품,95,12119100,215644000000,1
053210,스카이라이프,1.28,-10.47,방송과엔터테인먼트,40611,185040935,215278986150,1
039570,HDC랩스,1.39,0.98,건설,8163,67223800,213111904210,1
138490,코오롱ENP,2.28,-6.98,화학,45362,251864030,212420000000,2
002900,TYM,5.46,50.48,기계,461958,2119838125,210162709740,3
000140,하이트진로홀딩스,1.15,-2.16,음료,5140,46217340,209557087950,1
004380,삼익THK,3.35,2.5,기계,115505,1148045080,206850000000,3
025000,KPX케미칼,1.07,-13.16,화학,2550,109652000,207878000000,1
213500,한솔제지,1.21,-8.32,종이와목재,27603,239686600,207065011200,1
001780,알루코,2.47,-15.63,비철금속,116006,242406350,203827427860,2
019680,대교,2.46,13.15,교육서비스,29879,72357710,203710354250,2
044450,KSS해운,1.68,-6.73,해운사,7382,62947860,198076850400,2
037560,LG헬로비전,1.6,-3.03,방송과엔터테인먼트,83602,211613485,197876740075,1
005680,삼영전자,1.27,3.05,전기제품,6539,64230920,196200000000,1
194370,제이에스코퍼레이션,2.54,-1.04,"섬유,의류,신발,호화품",18564,263868340,194797717600,2
092790,넥스틸,5.2,-7.75,철강,166130,1246163960,195275020000,3
008350,남선알미늄,3.97,6.81,비철금속,381790,573038471,194005872270,3
404990,신한서부티엔디리츠,1.86,-7.38,부동산,12758,43883010,192768020380,2
460850,동국씨엠,1.77,-0.92,철강,49552,319618820,193145317760,2
053690,한미글로벌,4.18,18.36,건설,160980,2781616380,192524153500,3
095570,AJ네트웍스,1.37,-10.94,도로와철도운송,32423,137711675,191871698160,1
095720,웅진씽크빅,3.01,-18.73,교육서비스,202864,334771908,190931393205,2
293480,하나제약,1.34,-4.29,제약,15691,167757020,189815063280,1
028100,동아지질,2.07,12.87,건설,17941,251145850,188524188160,2
004560,현대비앤지스틸,3.13,-12.01,비철금속,62557,772277430,188485137500,2
002020,코오롱,3.16,0.07,복합기업,26454,392461030,186618576280,2
102260,동성케미컬,1.51,-13.81,화학,37530,141314390,186584928640,1
001460,BYC,1.36,-9.55,"섬유,의류,신발,호화품",547,16280150,186135270000,1
018470,조일알미늄,2.57,-18.25,비철금속,91624,134088227,185642102986,2
078520,에이블씨엔씨,2.38,-0.42,화장품,38445,273758130,185480967930,2
462520,조선내화,1.65,-10.35,비철금속,1855,28718010,184110759040,2
030210,다올투자증권,3.03,0.67,증권,32901,99728100,183951540120,2
000020,동화약품,1.51,-15.39,제약,38268,252198130,182671813800,1
004980,성신양회,1.61,-7.35,건축자재,12506,92688180,181909261660,1
015860,일진홀딩스,1.52,-3.29,전기장비,19931,73342725,181845474855,1
058430,포스코스틸리온,2.61,-22.76,비철금속,39681,1189414050,181500000000,2
033920,무학,1.82,11.17,음료,23500,150030680,181830000000,2
003200,일신방직,1.19,-4.2,"섬유,의류,신발,호화품",13451,103971930,180187200000,1
417310,코람코더원리츠,1.33,-10.8,부동산,81473,364842365,180588000000,1
071840,롯데하이마트,1.46,-3.6,전문소매,5002,37885020,180598996800,1
007110,일신석재,8.4,64.42,건축자재,2625657,6017692565,179312052150,3
000050,경방,2.16,3.3,"섬유,의류,신발,호화품",627,4120350,179570018500,2
107590,미원홀딩스,0.97,-2.29,화학,14,1069700,178176000000,1
271980,제일약품,2.3,-19.81,제약,3569,43151970,177928951200,2
003555,LG우,0.62,-1.51,복합기업,1595,93566200,177369094000,1
214390,경보제약,2.24,33.52,제약,97345,705423750,176671695400,2
000860,강남제비스코,1.58,3.63,건축자재,18994,511988800,176150000000,1
002100,경농,1.0,-1.31,화학,11172,100576370,175898400750,1
101530,해태제과식품,2.3,3.97,식품,22402,134388190,175283268440,2
003610,방림,3.38,23.65,"섬유,의류,신발,호화품",200162,819317175,175391903050,3
092220,KEC,2.91,-7.51,반도체와반도체장비,263205,229571478,174463169529,2
004090,한국석유,2.41,-27.99,화학,37347,510050000,174163326400,2
007160,사조산업,4.93,-43.41,식품,2514,87504600,174250000000,3
003070,코오롱글로벌,4.04,-0.86,건설,22132,200415810,173044996820,3
002390,한독,2.8,-5.54,제약,10663,134076820,173558151130,2
077500,유니퀘스트,5.42,62.73,반도체와반도체장비,953066,7796397490,172800816000,3
006490,인스코비,6.57,-30.66,다각화된통신서비스,486364,702599649,173801261088,3
234080,JW생명과학,1.3,-1.53,제약,10976,120544830,173230020760,1
000320,노루홀딩스,1.16,-6.27,건축자재,8584,111206100,172917874510,1
134380,미원화학,0.99,-1.75,화학,20,1574000,172862464800,1
005430,한국공항,2.72,3.65,운송인프라,3583,194159500,171299805500,2
009155,삼성전기우,2.11,-5.76,전자장비와기기,3415,201827200,171221357600,2
100250,진양홀딩스,0.88,-3.64,화학,6119,18578965,170201164140,1
007860,서연,2.5,-3.72,자동차부품,35394,256897800,170698465880,2
001520,동양,2.03,-10.58,건축자재,92009,65207155,169943052856,2
000390,삼화페인트,2.34,-16.2,건축자재,13815,85854310,169477611870,2
092200,디아이씨,4.28,9.73,자동차부품,1573740,6888202305,167804175235,3
009580,무림P&P,1.96,-5.58,종이와목재,120716,324443320,168082633180,2
097955,CJ제일제당 우,1.25,-5.53,식품,1232,155633400,167920274500,1
016450,한세예스24홀딩스,6.54,-29.06,"섬유,의류,신발,호화품",12178,50441055,166000000000,3
027970,한국제지,4.66,-16.17,종이와목재,59311,51612231,165835422664,3
083420,그린케미칼,4.02,8.49,화학,195356,1334430940,166320000000,3
010955,S-Oil우,1.37,-3.54,석유와가스,6920,282292400,163491332550,1
081000,일진다이아,2.48,-11.23,비철금속,8653,100010270,162908123250,2
036420,콘텐트리중앙,3.1,-17.55,방송과엔터테인먼트,8808,73688350,161610764120,2
079430,현대리바트,2.11,-1.51,가구,4470,35057830,160585905240,2
009270,신원,3.67,30.07,"섬유,의류,신발,호화품",1189878,1839802842,160137301716,3
010580,에스엠벡셀,4.07,16.9,자동차부품,254354,369527685,159646275600,3
001380,SG글로벌,9.08,20.07,자동차부품,865204,3035980345,159173066220,3
070960,모나용평,3.09,-20.91,"호텔,레스토랑,레저",52605,172689605,158358665570,2
008110,대동전자,0.0,0.0,전자장비와기기,0,0,157776322880,1
004250,NPC,2.07,-16.7,포장재,16427,70046810,158630400000,2
000300,대유플러스,0.0,0.0,자동차부품,0,0,156936737152,1
214420,토니모리,3.6,-25.75,화장품,261899,1713229150,155394001540,3
298000,효성화학,5.48,-7.14,화학,4860,196151050,156033022650,3
090350,노루페인트,1.44,-13.65,건축자재,45804,355963660,155200000000,1
012320,경동인베스트,2.55,-14.04,비철금속,8190,538716400,155855015700,2
003650,미창석유,1.59,-7.05,화학,691,60795200,153613037600,1
068290,삼성출판사,3.83,-9.79,출판,12658,190519310,151500000000,3
010820,퍼스텍,3.44,10.62,우주항공과국방,154999,480214335,152412306250,3
008490,서흥,2.02,-22.0,제약,7245,95131780,152133835950,2
002170,삼양통상,1.1,4.74,"섬유,의류,신발,호화품",98,4979800,152100000000,1
214330,금호에이치티,3.29,13.2,자동차부품,2223596,1552972028,149739891700,3
128820,대성산업,2.25,-6.81,석유와가스,42974,140949800,148372367840,2
001360,삼성제약,2.29,-12.68,제약,119253,188256313,148305274425,2
003547,대신증권2우B,0.76,-1.08,증권,23354,343087920,147000000000,1
005950,이수화학,2.88,-24.83,화학,22723,146859580,146561666550,2
450140,코오롱모빌리티그룹,6.73,0.0,자동차,171808,394111840,146584878750,3
001750,한양증권,2.04,-9.21,증권,12104,139293110,146505426340,2
011810,STX,2.85,-9.6,무역회사와판매업체,69918,327803620,146094436170,2
400760,NH올원리츠,1.05,-5.83,부동산,70020,237375285,145184055450,1
015230,대창단조,1.98,-0.59,기계,26383,131630750,144004039200,2
015890,태경산업,1.4,-6.33,비철금속,15954,78803695,144828456250,1
339770,교촌에프앤비,3.94,29.08,식품,44543,254814470,144898732000,3
011785,금호석유우,1.76,-27.74,화학,1533,72973850,143615585000,2
001020,페이퍼코리아,2.64,14.47,종이와목재,28792,23220381,143454550278,2
000105,유한양행우,3.62,-16.4,제약,36957,4539566300,143484210000,3
025820,이구산업,2.87,-10.25,비철금속,999507,4250842965,142128500000,2
011330,유니켐,3.3,-4.85,"섬유,의류,신발,호화품",31369,45586854,141906855321,3
011280,태림포장,1.86,-10.31,포장재,48702,98012841,141965909700,2
350520,이지스레지던스리츠,0.74,-5.9,부동산,15423,59123050,141197553660,1
003830,대한화섬,0.89,-12.09,화학,166,17545500,141033600000,1
034300,신세계건설,0.1,-0.33,건설,4793,86848780,140543632940,1
000970,한국주철관,0.96,-4.05,철강,21778,133608070,140451080000,1
004970,신라교역,1.46,-7.4,식품,37423,327145540,140000000000,1
000700,유수홀딩스,0.74,4.08,항공화물운송과물류,2901,15544070,139584112320,1
094280,효성ITX,0.77,-5.49,상업서비스와공급품,3011,36365030,139507474000,1
004080,신흥,0.27,2.45,건강관리장비와용품,2130,30985450,138985000000,1
105840,우진,2.91,-10.47,기계,329381,2263172630,138403811340,2
003060,에이프로젠바이오로직스,2.8,-23.54,제약,371390,256374477,137099820895,2
210980,SK디앤디,2.21,-13.33,부동산,27255,199894700,137210105340,2
008040,사조동아원,1.91,-3.21,식품,57081,54901609,136204539000,2
02826K,삼성물산우B,1.54,-8.27,복합기업,1061,97598500,135018280000,1
267850,아시아나IDT,3.94,-28.91,IT서비스,9703,117802720,134865000000,3
004710,한솔테크닉스,2.11,-5.19,전자장비와기기,23451,98667820,135343135770,2
136490,선진,1.78,-18.94,식품,26026,146077100,134116966560,2
363280,티와이홀딩스,2.32,-25.0,"호텔,레스토랑,레저",18399,48745440,133637560200,2
002620,제일파마홀딩스,2.38,-7.89,제약,2813,23514420,132259379400,2
