Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector
007370,KR7007370000,진양제약,KOSDAQ,우량기업부,5750,2,-170,-2.87,5870,5920,5650,53819,311081070,72744244750,12651173,KSQ,제약
097800,KR7097800007,윈팩,KOSDAQ,중견기업부,623,1,14,2.3,610,626,601,628183,387376778,72548492667,116450229,KSQ,반도체와반도체장비
109860,KR7109860007,동일금속,KOSDAQ,우량기업부,7960,2,-70,-0.87,7810,8000,7810,6617,51914370,72436000000,9100000,KSQ,기계
027580,KR7027580000,상보,KOSDAQ,우량기업부,1222,2,-8,-0.65,1215,1241,1200,436607,532128796,72319522938,59181279,KSQ,화학
049550,KR7049550007,잉크테크,KOSDAQ,우량기업부,3680,2,-20,-0.54,3765,3765,3650,400,1468170,72151099360,19606277,KSQ,컴퓨터와주변기기
309960,KR7309960003,LB인베스트먼트,KOSDAQ,중견기업부,3100,2,-145,-4.47,3245,3245,3085,36094,113203920,71973440900,23217239,KSQ,창업투자
317850,KR7317850006,대모,KOSDAQ,벤처기업부,8640,2,-100,-1.14,8640,8810,8480,53804,461542080,71922988800,8324420,KSQ,기계
200230,KR7200230001,텔콘RF제약,KOSDAQ,중견기업부,598,0,0,0.0,0,0,0,0,0,71909640530,120250235,KSQ,제약
262260,KR7262260003,에이프로,KOSDAQ,우량기업부,4970,2,-50,-1.0,5100,5100,4915,21966,108904440,71906715440,14468152,KSQ,전자장비와기기
033310,KR7033310004,엠투엔,KOSDAQ,중견기업부,1782,2,-16,-0.89,1798,1818,1768,19467,34628084,71889855642,40342231,KSQ,자동차부품
265560,KR7265560003,영화테크,KOSDAQ,우량기업부,6720,2,-90,-1.32,6810,6830,6660,3815,25646480,71838009600,10690180,KSQ,자동차부품
041910,KR7041910001,폴라리스AI파마,KOSDAQ,중견기업부,5310,2,-140,-2.57,5450,5500,5180,24532,129109660,71693533170,13501607,KSQ,제약
464280,KR7464280007,티디에스팜,KOSDAQ,중견기업부,12950,2,-760,-5.54,13500,13570,12600,96904,1258852680,71613500000,5530000,KSQ,제약
222110,KR7222110009,팬젠,KOSDAQ,기술성장기업부,5500,1,150,2.8,5350,5620,5350,43132,234292010,70940083500,12898197,KSQ,생물공학
452190,KR7452190002,한빛레이저,KOSDAQ,벤처기업부,3055,2,-45,-1.45,3055,3125,2990,132768,406358985,70762222635,23162757,KSQ,전기제품
383930,KR7383930005,디티앤씨알오,KOSDAQ,중견기업부,5540,2,-50,-0.89,5590,5770,5450,216213,1210761940,70748636480,12770512,KSQ,생명과학도구및서비스
348350,KR7348350000,위드텍,KOSDAQ,우량기업부,6900,2,-70,-1.0,6830,7010,6800,14216,97739110,70266840000,10183600,KSQ,반도체와반도체장비
057030,KR7057030009,YBM넷,KOSDAQ,중견기업부,4305,2,-200,-4.44,4390,4600,4230,202365,883148770,70226160585,16312697,KSQ,교육서비스
090410,KR7090410002,덕신이피씨,KOSDAQ,우량기업부,1521,2,-19,-1.23,1526,1559,1481,176030,265903466,70093908495,46084095,KSQ,건축자재
044060,KR7044060002,조광ILI,KOSDAQ,관리종목(소속부없음),732,0,0,0.0,0,0,0,0,0,70075958688,95732184,KSQ,기계
017480,KR7017480005,삼현철강,KOSDAQ,우량기업부,4460,2,-210,-4.5,4460,4600,4445,17712,79255335,70034889400,15702890,KSQ,철강
081150,KR7081150005,티플랙스,KOSDAQ,우량기업부,2885,2,-170,-5.56,3160,3325,2865,1901244,5872738375,70014339770,24268402,KSQ,비철금속
210120,KR7210120002,빅텐츠,KOSDAQ,중견기업부,22250,2,-1400,-5.92,23450,23650,21950,37036,833861000,69967572500,3144610,KSQ,방송과엔터테인먼트
302430,KR7302430004,이노메트리,KOSDAQ,우량기업부,7100,2,-230,-3.14,7370,7370,7080,20101,143988900,69815776800,9833208,KSQ,전기제품
056360,KR7056360001,코위버,KOSDAQ,우량기업부,7120,1,1240,21.09,6300,7640,6160,11047191,79792780730,69753216000,9796800,KSQ,통신장비
185490,KR7185490000,아이진,KOSDAQ,벤처기업부,2570,2,-45,-1.72,2615,2680,2565,32618,84343595,69466544880,27029784,KSQ,생물공학
024800,KR7024800005,유성티엔에스,KOSDAQ,우량기업부,1873,3,0,0.0,1875,1887,1859,6730,12551527,69398043876,37051812,KSQ,도로와철도운송
289080,KR7289080004,SV인베스트먼트,KOSDAQ,중견기업부,1300,2,-20,-1.52,1330,1330,1286,101754,132377443,69204200000,53234000,KSQ,창업투자
127980,KR7127980001,화인써키트,KOSDAQ,중견기업부,5840,2,-510,-8.03,6200,6260,5840,22063,132312600,69149594560,11840684,KSQ,전자장비와기기
066130,KR7066130006,하츠,KOSDAQ,우량기업부,5390,2,-110,-2.0,5500,5500,5300,72272,389778450,68992000000,12800000,KSQ,가정용기기와용품
263800,KR7263800005,데이타솔루션,KOSDAQ,중견기업부,4245,2,-100,-2.3,4345,4455,4230,70071,301615760,68851268100,16219380,KSQ,IT서비스
460470,KR7460470008,아이빔테크놀로지,KOSDAQ,기술성장기업부,4560,1,520,12.87,4040,4925,3975,6716842,30938731660,68784727200,15084370,KSQ,생명과학도구및서비스
043260,KR7043260009,성호전자,KOSDAQ,우량기업부,1126,2,-57,-4.82,1250,1282,1126,2563560,3114935643,68688464814,61002189,KSQ,전기제품
330730,KR7330730003,스톤브릿지벤처스,KOSDAQ,중견기업부,3780,2,-205,-5.14,3850,3915,3725,116310,440808695,68610137400,18150830,KSQ,창업투자
457370,KR7457370005,한켐,KOSDAQ,중견기업부,8530,2,-290,-3.29,8750,8940,8520,102231,883153610,68471453020,8027134,KSQ,디스플레이장비및부품
054930,KR7054930003,유신,KOSDAQ,우량기업부,22800,2,-1150,-4.8,23900,23900,22800,13856,322897800,68400000000,3000000,KSQ,건설
006140,KR7006140008,피제이전자,KOSDAQ,우량기업부,4555,2,-10,-0.22,4560,4590,4495,7768,35128855,68325000000,15000000,KSQ,건강관리장비와용품
263050,KR7263050007,유틸렉스,KOSDAQ,기술성장기업부,1854,2,-55,-2.88,1900,1908,1845,79998,148661000,68291823024,36834856,KSQ,생물공학
042110,KR7042110007,에스씨디,KOSDAQ,우량기업부,1413,2,-22,-1.53,1402,1417,1365,101126,139580944,68289673932,48329564,KSQ,전기제품
311390,KR7311390009,네오크레마,KOSDAQ,벤처기업부,5390,2,-10,-0.19,5400,5420,5340,2298,12329070,68203922710,12653789,KSQ,식품과기본식료품소매
083500,KR7083500009,에프엔에스테크,KOSDAQ,벤처기업부,7950,2,-20,-0.25,7970,8180,7510,24374,194905260,68176989900,8575722,KSQ,디스플레이장비및부품
024910,KR7024910002,경창산업,KOSDAQ,우량기업부,1903,2,-38,-1.96,1913,1970,1870,130184,246971766,68163566515,35819005,KSQ,자동차부품
017510,KR7017510009,세명전기,KOSDAQ,중견기업부,4470,2,-150,-3.25,4550,4615,4370,131111,589909145,68149620000,15246000,KSQ,전기장비
256630,KR7256630005,포인트엔지니어링,KOSDAQ,중견기업부,1175,3,0,0.0,1175,1197,1157,14482,16994300,68146559600,57997072,KSQ,디스플레이장비및부품
223250,KR7223250002,드림씨아이에스,KOSDAQ,벤처기업부,2860,2,-55,-1.89,2910,2940,2805,100383,287540265,68066066640,23799324,KSQ,제약
317770,KR7317770006,엑스페릭스,KOSDAQ,벤처기업부,2865,2,-105,-3.54,2905,2970,2780,186009,531048945,68042624055,23749607,KSQ,전자장비와기기
462510,KR7462510009,라메디텍,KOSDAQ,기술성장기업부,7850,2,-350,-4.27,8010,8140,7830,36015,287101520,67908269750,8650735,KSQ,건강관리장비와용품
065530,KR7065530008,와이어블,KOSDAQ,중견기업부,1282,2,-34,-2.58,1330,1330,1282,36066,47062607,67766520000,52860000,KSQ,무선통신서비스
307180,KR7307180000,아이엘사이언스,KOSDAQ,벤처기업부,2505,2,-45,-1.76,2520,2570,2465,108031,270252170,67742284140,27042828,KSQ,디스플레이장비및부품
199430,KR7199430000,케이엔알시스템,KOSDAQ,기술성장기업부,6230,2,-200,-3.11,6580,6580,6040,66460,414570970,67705851990,10867713,KSQ,기계
432430,KR7432430007,와이랩,KOSDAQ,기술성장기업부,4110,2,-110,-2.61,4165,4245,4085,35645,147138640,67569715200,16440320,KSQ,출판
024840,KR7024840001,KBI메탈,KOSDAQ,중견기업부,1933,2,-5,-0.26,1900,1957,1897,561091,1077568798,67479481667,34909199,KSQ,전기장비
320000,KR7320000003,한울반도체,KOSDAQ,중견기업부,2410,2,-90,-3.6,2460,2580,2365,247303,609303815,67397161070,27965627,KSQ,전자장비와기기
115310,KR7115310005,인포바인,KOSDAQ,벤처기업부,21100,2,-450,-2.09,21350,21350,20700,3064,64211150,67369831300,3192883,KSQ,IT서비스
086670,KR7086670007,비엠티,KOSDAQ,우량기업부,7380,2,-260,-3.4,7580,7630,7300,8964,66690360,67343784120,9125174,KSQ,기계
208860,KR7208860007,엔지스테크널러지,KOSDAQ,투자주의환기종목(소속부없음),2205,0,0,0.0,0,0,0,0,0,67316270805,30528921,KSQ,자동차부품
187660,KR7187660006,현대ADM,KOSDAQ,중견기업부,1565,2,-138,-8.1,1662,1695,1531,2294894,3680738634,67278065135,42989179,KSQ,제약
199480,KR7199480005,뱅크웨어글로벌,KOSDAQ,기술성장기업부,6660,2,-80,-1.19,6640,7140,6420,691151,4722909450,67276909080,10101638,KSQ,IT서비스
053950,KR7053950002,경남제약,KOSDAQ,중견기업부,860,1,43,5.26,799,875,772,2551273,2088532284,67206727880,78147358,KSQ,제약
037440,KR7037440005,희림,KOSDAQ,우량기업부,4810,2,-230,-4.56,4950,5020,4810,177054,861222550,66967104750,13922475,KSQ,건설
101000,KR7101000008,KS인더스트리,KOSDAQ,중견기업부,2185,1,60,2.82,2120,2210,2075,149727,320037715,66963981235,30647131,KSQ,조선
094840,KR7094840006,슈프리마에이치큐,KOSDAQ,벤처기업부,6380,2,-60,-0.93,6450,6560,6320,116526,750638790,66810339200,10471840,KSQ,전자장비와기기
043910,KR7043910009,자연과환경,KOSDAQ,벤처기업부,588,2,-7,-1.18,585,595,576,338771,197714190,66674176716,113391457,KSQ,상업서비스와공급품
145170,KR7145170007,노브랜드,KOSDAQ,중견기업부,7530,2,-310,-3.95,7520,7740,7440,138562,1045853370,66488650020,8829834,KSQ,"섬유,의류,신발,호화품"
153710,KR7153710009,옵티팜,KOSDAQ,기술성장기업부,4520,2,-10,-0.22,4435,4535,4420,8424,37547500,66308210160,14669958,KSQ,제약
413390,KR7413390006,엠오티,KOSDAQ,중견기업부,5720,2,-80,-1.38,5810,5810,5520,82502,464620220,66238629600,11580180,KSQ,전기제품
239610,KR7239610009,에이치엘사이언스,KOSDAQ,우량기업부,12240,1,280,2.34,12080,12400,11920,6348,76993940,65999487600,5392115,KSQ,제약
039290,KR7039290002,인포뱅크,KOSDAQ,우량기업부,7590,1,180,2.43,7350,7590,7250,95071,704807740,65987293020,8693978,KSQ,IT서비스
393210,KR7393210000,토마토시스템,KOSDAQ,기술성장기업부,4220,2,-185,-4.2,4420,4420,4150,156732,662111260,65893375680,15614544,KSQ,IT서비스
413630,KR7413630005,씨피시스템,KOSDAQ,벤처기업부,1634,2,-217,-11.72,1823,1833,1593,315374,526735153,65823116450,40283425,KSQ,기계
250000,KR7250000007,보라티알,KOSDAQ,우량기업부,9730,2,-150,-1.52,9790,9880,9450,34519,331736960,65684632090,6750733,KSQ,식품과기본식료품소매
