닉네임,날짜,내용,종목
도파민으로경제적자유,2025-01-09T09:22:41+09:00,미장하면서 국장욕 많이 했는데.. 주주분들 화이팅입니다. 황사장 립서비스 굳,005930
서현진,2025-01-09T09:21:36+09:00,가자 가자,005930
주린이정현,2025-01-09T09:21:21+09:00,가주어,005930
0do2,2025-01-09T09:20:30+09:00,개인들 호재에 파는겨?,005930
한반도의맥,2025-01-09T09:20:19+09:00,"한번 500만주씩 들어오면

10일이상은 꾸준히 들어옵니다.",005930
PEEDA,2025-01-09T09:20:09+09:00,아직 평단이 하늘위에 있으니 오르든 말든... ㅠㅜ,005930
밤양걩,2025-01-09T09:20:05+09:00,물탄금액 회수,005930
사이봇,2025-01-09T09:19:38+09:00,손절했다가 다시 들어오게되는..,005930
KDJJ,2025-01-09T09:19:25+09:00,국장은 호재가 먹히질않네요.미장같았으면 폭등감인데.ㅠㅠ,005930
하힝히,2025-01-09T09:18:30+09:00,6만오면 탈출할려고했는데 6만5천까진봐야하나?,005930
차돌박이숙주볶음이,2025-01-09T09:18:19+09:00,하루라도 먼저 빠지는 사람이 승자,005930
성스러운투자,2025-01-09T09:17:13+09:00,오늘 호재다,005930
SeP9,2025-01-09T09:16:58+09:00,기아 날라가니 여기도 맛만보자,005930
해병대사나이,2025-01-09T09:16:36+09:00,젠슨황이 샤라웃해줬으니 5%는 올라줘야지 !!,005930
와카야마라멘,2025-01-09T09:16:20+09:00,하이닉스는 날아가는데 넌 왜…?,005930
지구마불세계여행,2025-01-09T09:16:08+09:00,엔비디아에 메모리 납품 확정!!!,005930
내가인간지표,2025-01-09T09:15:02+09:00,외인들 이렇게 들어오는데 개미들 물량 다 잡아먹고 올라가즈아~~,005930
곰돌이우,2025-01-09T09:14:20+09:00,"'실언' 정정한 젠슨 황 ""RTX 50에 삼성 메모리 쓴다"" 마이크론x 삼성o
https://tossinvest.com/_ul/D4A9sD",005930
Ch헌,2025-01-09T09:13:58+09:00,7은 언제오나~~~,005930
곰돌이우,2025-01-09T09:13:02+09:00,"젠슨 황 엔비디아 CEO ""차세대 PC용 GPU, 삼성전자 메모리도 탑재""
https://tossinvest.com/_ul/D4A9iD",005930
덕배님,2025-01-09T09:12:17+09:00,기사떳음,005930
힝구아비,2025-01-09T09:12:14+09:00,떨어진다 ㅋ,005930
하힝히,2025-01-09T09:11:37+09:00,외인 연속매수는 오랜만에봐서 신기하네,005930
주린22221,2025-01-09T09:10:53+09:00,개미들 다 털고 가자!,005930
일용직할양식,2025-01-09T09:10:16+09:00,6만부터 횡보,005930
짤랑이123,2025-01-09T09:09:54+09:00,어제 장초에도 이러더니 개미 많이 빠졌음 좋겠다 시끄럽기만함,005930
가즈아떡상코인,2025-01-09T09:09:37+09:00,줄때먹고 삼성은 횡보하다가 올라갈듯,005930
밧줄가즈아,2025-01-09T09:09:22+09:00,왜 떨어지냐 얘는,005930
야고신,2025-01-09T09:08:52+09:00,"삼전
분골쇄신 하라는 의미로 ᆢ
20주구매",005930
Analytics,2025-01-09T09:08:33+09:00,"근거는 환율 변동 이젠 좀 밴드형성 되었음
외인과 기관의 미장 리스크 관리 차,
삼전 같은 국장 저가 매수로 전략.. 끝.

P.S.
문제는 탈출 개미 구만. 어찌 말려. 아무도 못 말림..",005930
수민93,2025-01-09T09:08:26+09:00,이러니 개미들은 수익을 못내는 거야,005930
김치전감자전삼전,2025-01-09T09:08:24+09:00,"추매 300주
평단 5.4",005930
주넌유령,2025-01-09T09:07:35+09:00,8주 더 구매,005930
추리알,2025-01-09T09:07:04+09:00,언급이 된다면 오른다고 들었습니다,005930
이긔야,2025-01-09T09:06:29+09:00,시총 1위의 위엄 콱씨,005930
리차드DG,2025-01-09T09:06:18+09:00,5.7 매물대 터는 중,005930
ORuby,2025-01-09T09:05:59+09:00,국장은 악재가 있으면 오르나요!!,005930
바트매수법,2025-01-09T09:05:52+09:00,이게 시총1위?,005930
김치전감자전삼전,2025-01-09T09:05:47+09:00,"개인 매도
외인 매수중
개미털기 굿",005930
흔해빠진주린이,2025-01-09T09:05:47+09:00,님과 나의 생각대로라면 이미 쮹! 하고 올라갔죠 그죠? 하지만 현실은.. ㅎㅎ 역시 우린 주싁하면 안되나 봅니다,005930
VOOVOO젤라,2025-01-09T09:05:27+09:00,내렸다가 팡 올리려는 세력의 호가창 손질입니다,005930
게으른투자자i,2025-01-09T09:05:12+09:00,기이한 종목,005930
냥형사,2025-01-09T09:05:09+09:00,ㅋㅋㅋ이해가안가는데,005930
풍류나그네,2025-01-09T09:05:08+09:00,이미 호재반영ㅋㅋㅋ,005930
대한민지,2025-01-09T09:04:53+09:00,미주휴무니 오르겠지? ㅎㅎ,005930
Han1987,2025-01-09T09:04:51+09:00,삼성공급인데 왜떨어지는겨,005930
부자왕이야,2025-01-09T09:04:28+09:00,왜 떨구짘ㅋㅋ,005930
수익좀내자1,2025-01-09T09:04:25+09:00,역시 ㅋㅋ 내 생각대로는 아무것도 안됨ㅋㅋㅋㅋㅋ,005930
도달지,2025-01-09T09:03:56+09:00,ㅋㅋ,005930
칭빙방붕,2025-01-09T09:03:24+09:00,어제요,005930
리차드DG,2025-01-09T09:03:12+09:00,오늘은 닉스 날이네,005930
불로소득좋아,2025-01-09T09:02:56+09:00,미지근하네,005930
구미장수말발,2025-01-09T09:02:46+09:00,나가실려고 하는 님들 우리 다같이 진득하게 붙어 있다 크게 한 방에 나갑시다! 제발!!!!,005930
꼬챠미남,2025-01-09T09:02:40+09:00,달려,005930
손대면최고점,2025-01-09T09:02:30+09:00,https://n.news.naver.com/mnews/article/011/0004437531?sid=105,005930
의왕불량주부,2025-01-09T09:02:29+09:00,외인 들어오네요~,005930
가져갈게불만없지,2025-01-09T09:02:24+09:00,저항받고 떨어지면 한 3천원정도 빠질듯 하지만 최근에 58000저항받고 떨어진거보면 저점다지기 하면서 올라가는 중 인 것 같은데 ㅇㅈ하시나요?,005930
내려가지만,2025-01-09T09:02:12+09:00,엔비 뭍었는데 가야지,005930
껄무새등판,2025-01-09T09:02:07+09:00,힘내ㅠ,005930
알라요,2025-01-09T09:01:49+09:00,영..시원찮네,005930
지구마불세계여행,2025-01-09T09:01:45+09:00,어제랑은 좀 다르네요..,005930
밥줘미,2025-01-09T09:01:19+09:00,오늘 정차역은 58000?,005930
머니크,2025-01-09T09:01:07+09:00,고고~~,005930
DevChimsil,2025-01-09T09:00:57+09:00,제발 6만전자 가자,005930
얌얌쓰33,2025-01-09T09:00:28+09:00,문열어!!,005930
쭈린이0123,2025-01-09T08:59:30+09:00,호가창 ㄹㅈㄷ,005930
주린난장이,2025-01-09T08:59:25+09:00,시원하게 앞자리한번 바뀌자,005930
VOOVOO젤라,2025-01-09T08:59:00+09:00,올렸다가 눌림목 나올때 들어갈게용 삼성 주주분들 화이팅!,005930
리드엘,2025-01-09T08:58:18+09:00,6만원 찍먹하나요?,005930
오늘도기쁜하루,2025-01-09T08:58:03+09:00,"황씨 아저씨 말 한마디에 흔들리는 내 마음이 참 불편했어요...
예전에 확 치솟아서 좋아했던 마음도 생각나고..
어제도 또 좋은말을 구걸하는 듯한 제 마음이 싫더군여...
삼성은 자신의 갈길을 묵묵히 걸을 테니까!!!
감사한마음이 생겼어요
여러분 감사합니다",005930
하힝히,2025-01-09T08:56:20+09:00,초반에 좀 떨어지다가 올라갈거같은데 이놈은 첨부터 올리면 나중에 떨어지더라,005930
먹어보자투자맨,2025-01-09T08:55:17+09:00,삼성도 젠슨황이 깠는데 그떡없네 오히려오름,005930
나현우,2025-01-09T08:54:06+09:00,인간 지표 떡상직전 팔아 오열중,005930
오늘도기쁜하루,2025-01-09T08:54:05+09:00,"오늘 상 칠꺼같은....
이 느낌은 뭘까??",005930
젠틀젠틀맨,2025-01-09T08:53:36+09:00,오늘폭락할듯...어제 미장이 박살났음,005930
먹어보자투자맨,2025-01-09T08:53:23+09:00,미장에서 1500날렸다 하루밤에 삼성은 안전하니 수익은 적어도 여기에 투자할껄,005930
흔해빠진주린이,2025-01-09T08:52:49+09:00,오늘 무지막지한 사람들이 탈출할 것으로 예상됩니다 마치 아프간 공항 탈출 군중 때거지 마냥,005930
현준이아빠,2025-01-09T08:52:45+09:00,기대중,005930
야잇흣,2025-01-09T08:52:11+09:00,본전으로 가고있뇽,005930
꼬맹상,2025-01-09T08:52:03+09:00,대호재같은데?,005930
똑상가즈아,2025-01-09T08:51:54+09:00,ㅇ ㅏ 소리소문없이 올라가야지 호재다! 뉴스뜨면 올라가는척하면서 내려온다고 ..,005930
폭풍핸들링,2025-01-09T08:50:58+09:00,두근두근두근,005930
가보자잉맨,2025-01-09T08:48:56+09:00,떨어져라,005930
YieldMaxETFs,2025-01-09T08:46:38+09:00,황사장 삼성 언급 굳굳,005930
대나미,2025-01-09T08:45:24+09:00,주식은 코에걸면코걸이 귀에걸면귀걸이 ㅋㅋㅋ,005930
콜라보펩시,2025-01-09T08:44:24+09:00,탈출각 나오겠군,005930
아초코야,2025-01-09T08:43:02+09:00,오늘올라간다,005930
한량인생,2025-01-09T08:42:26+09:00,"모건스탠리는 55000원 이하에선 삼전 매도의견내면서 수천억 매도 때리더니
지금은 비중확대 매수포지션으로 가네...
알다가도 모르겠군",005930
우째라고,2025-01-09T08:42:08+09:00,"젠슨 황 엔비디아 최고경영자(CEO)가 CES 2025에서 촉발한 그래픽메모리(GDDR)7 논란에 “삼성전자(005930)가 초도 공급을 맡는다”는 공식 입장을 내놨다. 발표 현장에서 마이크론이 공급한다 언급한 것이 ‘실언’이었던 셈이다.

8일(현지 시간) 황 CEO는 공식 성명을 통해 “지포스 RTX 50 시리즈는 여러 파트너가 제조한 GDDR7 메모리를 탑재했으며, 그 시작은 삼성”이라고 밝혔다. 앞서 황 CEO는 CES 2025 기조연설에서 신형 그래픽카드(GPU) RTX 50시리즈를 공개하며 “마이크론 GDDR을 사용했다”고 언급한 바 있다. 이어 다음날 진행된 기자간담회에서는 특별히 마이크론을 택한 이유가 있느냐는 서울경제의 질문에 “삼성전자와 SK하이닉스는 그래픽메모리를 안 하는 걸로 안다”고 답했다 급히 정정하기도 했다.",005930
주린린린이이,2025-01-09T08:40:38+09:00,여튼 양키들 정보 하나는 ㅇㅈ이다 진짜,005930
주린린린이이,2025-01-09T08:40:19+09:00,오늘 쏘겠는데 그래서 어제 양키들 들어왔나,005930
땡깡쟁e,2025-01-09T08:37:35+09:00,https://naver.me/5mI5zZtJ,005930
초보쥬린봉,2025-01-09T08:34:42+09:00,단타로,005930
흔해빠진주린이,2025-01-09T08:31:27+09:00,상 쳐도 손실이네 에효,005930
리드엘,2025-01-09T08:21:55+09:00,"1월8일 기준
총 3590만주
평단 54,718원
매입 총 금액 약 1조 9643억원",005930
주식의고자,2025-01-09T08:17:08+09:00,마이크론 거 쓴다고 했다가 삼성 쓴다고 번복했다는데,005930
인생역적힝,2025-01-09T08:13:21+09:00,오늘 6층 갈수있으까.. 삼성아 힘내..♡,005930
밀크찡,2025-01-09T08:08:50+09:00,오늘가나요?,005930
반드시제1원칙을,2025-01-09T08:06:16+09:00,마 삼성 올라갈 준비 다 됐나,005930
MarketNews,2025-01-09T07:49:04+09:00,"젠슨 황 엔비디아 CEO가 CES 2025에서 RTX 50 시리즈에 탑재될 GDDR7 메모리 초도 공급 업체로 삼성전자를 공식 발표했습니다. 이는 CES 기조연설에서 마이크론을 언급한 발언을 바로잡은 것입니다.

황 CEO는 성명을 통해 RTX 50 시리즈의 GDDR7 메모리가 다양한 파트너를 통해 제조되지만, 그 시작은 삼성전자라고 밝혔습니다. 이는 CES 발표 후 마이크론이 주요 공급처라고 언급한 것을 정정한 발언입니다. 이후 기자간담회에서는 ""삼성전자와 SK하이닉스는 그래픽 메모리를 제조하지 않는 것으로 알았다""고 발언하며 이를 즉각 수정하기도 했습니다.

이 사건은 CES 2025에서 그래픽 메모리 공급망에 대한 관심을 높이며, 삼성전자가 중요한 파트너로 부각되고 있음을 보여줍니다.",005930
호살2,2025-01-09T07:47:11+09:00,"매수 1억 대기중.

시드가 커서 삼전 매수.
횡보 2주만 보고 들어가요.
적금이라 6개월 보유 예정",005930
동아둉아,2025-01-09T07:28:48+09:00,"보통 외인이 단타칠때는 80만정도로 침
400만주샀다는건 작정랬다는거임",005930
개미핥아요,2025-01-09T07:19:46+09:00,양자는 5년이면 충분하다. 내가 그걸 하겠다 하면 모르지,005930
전삼2500출,2025-01-09T05:49:07+09:00,#삼성전자 시작부터 오를까요? 내릴까요?ㅠㅠ,005930
넣다뺐다장인,2025-01-09T05:29:12+09:00,직장동료가 미장은 모르겠고 국장은 빼라고했는데 반대로 미장 익절하고 국장 놔뒀는데 든든스~,005930
KDJJ,2025-01-09T04:17:51+09:00,한달넘게 애태우더니 조금씩오르네.믿었던 미장이 물가상승땜에 손실이 있으니까 삼전이 성투해주길바라겠다.천천히가자~^^,005930
투자대회참가자31762,2025-01-09T02:59:10+09:00,난 엑슨모빌만 가지고있는데 삼성이 좋은건 아니지만 양자는 애초에..ㅋㅋ 뭔 말도안되는 소리같긴했음,005930
인텔리한호구,2025-01-09T02:26:03+09:00,덕분에 미장 다 떨어진다 ㅋㅋㅋ,005930
그걸알면일안하지,2025-01-09T01:41:36+09:00,얘는 아무리 올라도 미국주식하고 비교도 안되는 변동률이네,005930
한국망한다에투자,2025-01-09T01:38:34+09:00,"삼성 스배러마
s24 gps 언제 고쳐줄래?",005930
텍스트스캔,2025-01-09T00:56:40+09:00,실시간 양자에서 개박살나시는 중 ㄷㄷ,005930
일단매,2025-01-09T00:11:24+09:00,그냥 애국심이다,005930
곰돌이우,2025-01-09T00:08:51+09:00,양자 미장 폭락하고 있고 중요 테마하나 나락가서 삼전에 좀 올꺼 같네요 ㅋㅋ,005930
백분위99,2025-01-10T12:46:21+09:00,계속 떨어지네 ㅜㅜ,000660
하락왕,2025-01-10T12:42:14+09:00,구해줘 ㅠ,000660
도수학,2025-01-10T12:41:06+09:00,하이닉스는 오를수 밖에 없는게 엔비디아 말고도 하이닉스 hbm4 가 테슬라 슈퍼컴 도조 에게도 필요함. 사실상 쌍두마차가 있는 셈. 25년에 무난하게 우상향할듯.,000660
끼리낄,2025-01-10T12:40:07+09:00,늘 그랬듯이 기다리던 자에게 복이,000660
사신도,2025-01-10T12:38:00+09:00,근데 왜 가격은 로우냐,000660
월가의여우님,2025-01-10T12:27:43+09:00,"엔비디아 임원, 550만 달러 상당 주식 매각
https://tossinvest.com/_ul/D8ABeD",000660
티끌다오,2025-01-10T12:20:22+09:00,중간 중간 힘들었지만 복구 감사합니다,000660
구라핑,2025-01-10T12:16:04+09:00,떨어질때마다 매수,000660
어부토끼,2025-01-10T12:15:59+09:00,비행기 타고 있던 사이에 걸어둔게 팔렸네요.. 몇달 품고 있던 거 걍 팔고 갑니다ㅏ,000660
날아라병아리114,2025-01-10T11:55:54+09:00,"젠슨황의 영향력이 위로든 아래로든 터지겠죠...
좋은기업이니 위로 터지리라 믿어봅니다
전고점 248000원 곧 뚫을거 같습니다
25주 구매했습니다",000660
가나르,2025-01-10T11:52:07+09:00,실적 발표일이 언제입니꼬?,000660
오르락뿅,2025-01-10T11:48:46+09:00,기관은 진짜 짜증나,000660
자유가고프다,2025-01-10T11:43:22+09:00,깔짝,000660
저음불가,2025-01-10T11:40:12+09:00,아침에 달려들어서 ㅠ,000660
저음불가,2025-01-10T11:38:50+09:00,묶혀 있던거 드뎌 수익 나내요,000660
주리니준비생,2025-01-10T11:33:51+09:00,"추세가 너무 좋네
오늘 뚫을만 한데",000660
골로가는,2025-01-10T11:31:01+09:00,기법 빡구미가 들어온건 의미있쩨,000660
쪽제비닷,2025-01-10T11:30:36+09:00,오후에 한번은 올라갈거 같은데 하,000660
서현진,2025-01-10T11:29:47+09:00,"오늘도 단타 맛 집
점심 갈비탕 잘 먹을게염 ♡♡
5천원 떨어지는 알람 울림 또 올게여 ㅎㅎ",000660
김코지니,2025-01-10T11:15:05+09:00,ㅡㅡ,000660
킹사우드,2025-01-10T11:11:02+09:00,어제 익절하고 다시 들어왔당 더 올리자,000660
드메르,2025-01-10T11:10:19+09:00,"매도벽이 많다는데
????
월봉으로보면 저점아닌가요?
전고점 뚫는건 시간문젠데..",000660
으악얌,2025-01-10T11:06:59+09:00,갈 수 밖에 없다고 생각함,000660
슬라이,2025-01-10T11:05:21+09:00,코쟁이 들어오니까 4%까지만 보자 손가락좀 내비둬 제발~~~,000660
수달달링,2025-01-10T11:03:43+09:00,다들 얼마까지 보세요? 주린이는 감이 안옵니다...,000660
Smileyyy,2025-01-10T10:59:56+09:00,토스는 소수점 주식도 안되고 선물도 안되고 안되는게 꽤 많네요,000660
춘꼬아빠,2025-01-10T10:58:37+09:00,"7월에 불태웠다가
12월에 절반 손절치고 ㅠ
6개월 또 물타면서 기다리고
인고의 시간 ㅠ
이제 겨우 빨간불~~ 힘을내보자",000660
가는대로가,2025-01-10T10:56:28+09:00,담배값^^,000660
밤바마만밤,2025-01-10T10:54:48+09:00,"오늘 보합
담주? 떨굼 그따 줍줍 ㄱㄱ",000660
그리핀도르,2025-01-10T10:53:35+09:00,말아 올려!!!,000660
끼리낄,2025-01-10T10:51:27+09:00,가즈아~!,000660
큐뀨쿠,2025-01-10T10:49:54+09:00,무섭다 진짜...,000660
bu자의꿈,2025-01-10T10:49:29+09:00,국장은 매도벽이 원래 이리 많이 엤나요?,000660
서현진,2025-01-10T10:48:29+09:00,"오늘도 짤짤이 가자
점심 갈비탕 값만 벌어가자.",000660
내가젤잘,2025-01-10T10:41:28+09:00,오를겁니다,000660
프레게,2025-01-10T10:41:16+09:00,소액 투자했습니다. 시장가로 안 사져서 웃돈 주고 샀습니다.,000660
하닉최고,2025-01-10T10:40:26+09:00,전고점 돌파는 기정 사실 아닌가 올해 작년보다 5조 더이상 매출 더발생하는데 이미 올해 팔물량 다받음,000660
토끼대운,2025-01-10T10:37:46+09:00,"엔비디아와 하이닉스만
믿고 투자합니다",000660
성투파이팅,2025-01-10T10:37:02+09:00,기관이 팔고 있는건가,000660
저음불가,2025-01-10T10:35:56+09:00,시작가 왔으니 다시 가자고,000660
왜냐고구마,2025-01-10T10:31:59+09:00,국내는 체결이 느린가요? 미장은 1초만에되던데,000660
끼리낄,2025-01-10T10:30:51+09:00,뭘 걱정해 털고~가는거지 아직 10:30,000660
루피맘미,2025-01-10T10:28:46+09:00,아 또 들어가고싶다ㅎ,000660
물타다물되겠네,2025-01-10T10:28:40+09:00,들어오자마자 물렸다..헐,000660
수원이가,2025-01-10T10:28:36+09:00,"아....
모니..",000660
에너지넘치게,2025-01-10T10:27:54+09:00,작아도 감사해,000660
아이쿠주린이,2025-01-10T10:25:18+09:00,아직 저점이야~~,000660
저음불가,2025-01-10T10:22:34+09:00,71주 고점에 산듯;;,000660
30대후반시작,2025-01-10T10:17:54+09:00,사실 우리의 적은 항상 기관이었지...,000660
파이아아아악이또한지나가리,2025-01-10T10:17:52+09:00,"흐름이 좋구먼
이제다시가니~
귀여운 녀석🥰",000660
조개구이사먹을돈,2025-01-10T10:15:55+09:00,야 얼마만에 빨간색이냐 ㅎㅎ,000660
땡땡땡동,2025-01-10T10:14:40+09:00,이제 윤씨 체포만 돠면 날아갈듯,000660
브레드4,2025-01-10T10:13:24+09:00,기관놈들,000660
끼리낄,2025-01-10T10:10:24+09:00,"9,860개 사신분..누구세요..? 와😳",000660
연간20프로,2025-01-10T10:08:59+09:00,전고점가능할라나 트럼프가 변수일거같다,000660
찡찡이살인마,2025-01-10T10:08:30+09:00,1시간 됬는데 외인 54만?,000660
화이트카페인,2025-01-10T10:07:48+09:00,올해분 HBM완판,000660
사신도,2025-01-10T10:06:16+09:00,과연 올지?,000660
주넌유령,2025-01-10T10:06:06+09:00,삼성 팔고 하이닉스 산 게 맞았다!,000660
가즈아쿠쿠,2025-01-10T10:05:55+09:00,고고,000660
끼리낄,2025-01-10T10:04:57+09:00,"외인 들어오는데는 이유가 늘 있었지,
삼성 정리하고 하닉오길 잘했누👍",000660
서준왕자,2025-01-10T10:02:42+09:00,옆집 한미는 죽쓰는데 여긴 잘가네,000660
화이트카페인,2025-01-10T10:01:35+09:00,"젠슨황이 어제 삼성 퇴짜놔서, 경쟁자가 없음.ㅋ",000660
30대후반시작,2025-01-10T09:55:22+09:00,못 버티고 어제 종가에 25%를 팔았다니... 난 나약한 놈,000660
수원이가,2025-01-10T09:54:10+09:00,시윈히 가자~~,000660
팔랑팔랑해,2025-01-10T09:51:57+09:00,올라라~~,000660
10억부자까지,2025-01-10T09:51:46+09:00,.,000660
Rainydays,2025-01-10T09:50:20+09:00,영차! 영차!!,000660
국주보다는미주,2025-01-10T09:49:22+09:00,우선 발 좀 빼겠습니다~,000660
초보쥬린봉,2025-01-10T09:49:06+09:00,",그냥 줄먹이 안전^^",000660
슬라이,2025-01-10T09:47:45+09:00,코쟁이 계속 들어오잖아~ 손꾸락좀 버텨봐 조바심내지말고,000660
냐냐냐냐옹이,2025-01-10T09:47:20+09:00,208000에 시작?,000660
Aixilet,2025-01-10T09:46:08+09:00,"계속 갖고있는게 맞겠죠...??
오르겠...지...?",000660
우째라고,2025-01-10T09:45:30+09:00,순매수 1위는 SK하이닉스,000660
노란서,2025-01-10T09:45:30+09:00,기관은 프매 쪽에서 팔고있는거 같고 외인은 어제처럼 위로 매도벽을 막 긁진 않지만 밑으로 매수호가 받쳐놓고 40만주 정도 받아먹고있네요 천천히 바라봅시다 ㅎㅎ,000660
끼리낄,2025-01-10T09:43:52+09:00,오늘도 말아올릴듯 사보자고~!,000660
구라핑,2025-01-10T09:43:08+09:00,장투 가볼께요,000660
말라뮤틍,2025-01-10T09:42:56+09:00,"오~ 삼전은 내가 투자했어도 하락하는데 이곳 투심은
살아나네",000660
국장만만세,2025-01-10T09:38:06+09:00,"16에 진입한 주주인데 어찌할지를 모르겠습니다
하닉 화이팅!",000660
저음불가,2025-01-10T09:37:44+09:00,기다렸다 추매할걸,000660
양꼬치비,2025-01-10T09:34:59+09:00,"평단 233,300원인데 그냥 손절할까 기다릴까",000660
왕발이파파,2025-01-10T09:34:59+09:00,"통곡의 벽 20.6만원
뚫었으니

가치투자 하세요.
자신있게 의견 드립니다.
(지금부터는 매도벽이 얇습니다.)

가격 조정시에는 추매해서
물량 늘리는 기회로 활용하시기를.

작년 우리나라 증시가 꼴찌 했는데
올해 10일간 글로벌 1위 입니다.

""꼴찌의 반란!""

미 증시가 요즘 흔들리는데
올해는 국장 좋을 것 같아요.

왜냐면 글로벌 투자자들이
어디서든 돈은 벌어야하는데

우리나라 증시가 역사적 저점이라서
우리나라로 돈이 몰릴 수는 있어요.

저는
반도체,자동차, 전력주, 엔터주, 바이오에
관심 가지고 있습니다.

(조선주는 너무 오름, 방산은 좋은데 무정부에 가까운 상태라 계약물량 취소되게 생겼고요.

방산: B2G산업임. 대통령, 국방장관이 같이
보증해야함-계약시)

* 작년 11월말에 LS Electric 13만원대 갔을때
저는 왕창 샀는데 요즘 좋네요.

그 당시 소개 해 드린 적 있을껍니다.
(댓글에)

AI 수요가 늘어날 수록 전력주도 유망하거든요.

서로 정보교환 자주 해여!",000660
Society,2025-01-10T09:34:17+09:00,삼습만원!!,000660
잡주싫어,2025-01-10T09:33:28+09:00,22만원 갔으면 좋겟다,000660
적정선,2025-01-10T09:31:53+09:00,25만원 보고 재진입 했습니다,000660
구라핑,2025-01-10T09:30:23+09:00,진입해볼까 ..,000660
아기팬더푸,2025-01-10T09:30:19+09:00,30마넌 갈끄니까.. 영차 영차 영차,000660
Asd0123,2025-01-10T09:27:40+09:00,오후에 재진입,000660
1000만원좌,2025-01-10T09:27:38+09:00,"오늘도 파는 개관

물 들어올 때 좀 저어줘야 하는데

이번에 24만 가야지?",000660
쭈르르륵,2025-01-10T09:27:16+09:00,하이닉스야 사랑해❤️ 애국할게,000660
만만새가자,2025-01-10T09:25:03+09:00,23만원ㄱㄱ,000660
특징주알리미,2025-01-10T09:24:41+09:00,"SK하이닉스 소식을 가져왔어요.

10일 오전 9시 21분 기준 SK하이닉스는 전 거래일보다 1.95%(4000원) 오른 20만9000원에 거래 중이며 최태원 SK그룹 회장이 젠슨 황 엔비디아 최고경영자(CEO)를 만났다는 소식이 연일 주가를 끌어올리는 것으로 풀이된다.

👇 토스증권에서 기사 보기


앞으로 의 주가는?",000660
Jinace,2025-01-10T09:23:40+09:00,뚫었다 !!,000660
울라리짱,2025-01-10T09:22:08+09:00,내가사면 떨어지는구나ㄷᆢㄷ,000660
개꿀빠셍,2025-01-10T09:22:06+09:00,조정안오나,000660
Aixilet,2025-01-10T09:21:31+09:00,이게 맞나...^^,000660
아기팬더푸,2025-01-10T09:20:54+09:00,아.. 3프로 근처에서 500마넌 추매 했는 데 어떻게 하지..,000660
지뢰밭보물찾기,2025-01-10T09:20:46+09:00,25꿈의숫자...더기다려볼까...,000660
석배햄,2025-01-10T09:19:50+09:00,"분할매도
오늘은 20만 지켜주면 좋을듯",000660
지뢰밭보물찾기,2025-01-10T09:19:47+09:00,고민하다 놓쳤넴....,000660
드메르,2025-01-10T09:18:27+09:00,"수익인증 안함.
안팔꺼니깐
천만원돌파기념",000660
부자되고싶어욯,2025-01-10T09:17:47+09:00,수익내고 런,000660
삼하현직,2025-01-10T09:16:53+09:00,"저는 15에 사서 20에 팔자 전략 고수해서 어제 전량 익절했습니다만 1월 트럼프 취임 관세, 실적, 1월 FOMC 리스크를 모구 겪고도 하락 추세가 오지 않는다면 비중 줄여서 조금씩 다시 들어갈 생각입니다.",000660
제이투룬,2025-01-10T09:16:49+09:00,"몇달간 물려있던 개인들이
팔아치우는 속도가 테슬라 제로백 보다 빠르네요.~
자 ~ 25만 가보자.~",000660
흑염소전골,2025-01-10T09:16:19+09:00,흐흐흫흫ㅎ흫 여긴 벌써봄이네요,000660
로또4,2025-01-10T09:16:03+09:00,하닉이 미래다 삼전 꺼져!,000660
주식너무어려워요우워,2025-01-10T09:16:02+09:00,아직 산게 남았는데 오늘 오를까요?,000660
버뜩버뜩,2025-01-10T09:15:38+09:00,어서 들어오시오~~,000660
테니스나달,2025-01-10T09:15:01+09:00,조금씩 팔고 있는데 오늘 215000원 갈거같나유??,000660
새벽기도매매,2025-01-10T09:14:42+09:00,매수세 아주 강해 거래량 좋고,000660
주식꿈,2025-01-10T09:14:34+09:00,반년만에 손실 복구했네여..성투하시고 나중에 다시 올게요!,000660
나를넘는다,2025-01-10T09:14:09+09:00,"하이닉스 30만원 가즈아아아아아아아아아

냅두면 오른다

외국인 형님들 믿습니닷",000660
왜냐고구마,2025-01-10T09:14:05+09:00,크 부럽당,000660
건강한아빠,2025-01-10T09:13:54+09:00,"엔솔 실적 잘 안 나와서
손절하고 어제 진입 했는데
잘 가주길~",000660
장투황태자,2025-01-10T09:13:36+09:00,"전고점도 돌파!저항대도 돌파!
GOOD!주주님들 화이팅 입니다.",000660
투자대회참가자40581,2025-01-10T09:13:18+09:00,기다렷다 팔껄껄껄,000660
핫썸머나이츠,2025-01-10T09:13:10+09:00,22는 다음주에 무난히 갈듯한데 👍,000660
패스파이너,2025-01-10T09:13:00+09:00,그만파세요,000660
주린이주식어렵당,2025-01-10T09:12:46+09:00,와 버티니 오내,000660
로우아2,2025-01-10T09:12:45+09:00,힛,000660
왕발이파파,2025-01-10T09:12:42+09:00,"20만 6천원 뚫었네요.
(5전 6기)

며칠전 20.6만원 터치후 19만원대 초반으로 떨어졌을때, 많은 분들이 수익실현 하셨죠.

저는 멘탈 잡고
그냥 냅둘래요 했는데

운이 좋았네요.

성투합시다!",000660
강남불개미,2025-01-10T09:12:30+09:00,역해숄 뚫렸다,000660
홍깨비,2025-01-10T09:12:06+09:00,"마이너스 300만원까지 갔었는데
그래도 버티니 오르네요.",000660
