닉네임,날짜,내용
다이소매매,2025-01-10T09:46:34+09:00,"반민주주의 윤썩열 언제 머리채잡혀끌려나오냐.. 지겹다진짜
일본총독부짓언제까지 봐줘야함"
기부me,2025-01-10T09:46:18+09:00,에라이
꼭사야했니,2025-01-10T09:45:47+09:00,재용이 집권하고 개잡주 됐어
초보쥬린봉,2025-01-10T09:45:41+09:00,단타익절 #
보건교사아는형,2025-01-10T09:45:19+09:00,윤통 저지경이기 때문에 경제가 더더욱 죽쑤는 거 아님?
오링5링,2025-01-10T09:44:07+09:00,"그러기엔 다른반도체 주식은 잘만가니깐 머리가 띵하지?

그냥 장투하라고 징징거리지말고 다들 ㅋㅋ"
판다팔아버린다,2025-01-10T09:44:00+09:00,이 개잡주… 그냥 손절액 적을 때 손절했어야 했는데…
아프리카장님개미,2025-01-10T09:43:56+09:00,특별한 악재가 없는데다 아직 저평가 상태인데도 조금 올랐다고 조정을 맞는 대 삼 성
불꽃남자3,2025-01-10T09:43:32+09:00,와 아침에 느낌쎄하더만 역시나
웅이오빠,2025-01-10T09:43:32+09:00,"삼성.. 이제라도 정신 차려라..
니가 쓰러지면 한국 큰일난다.."
노예1호,2025-01-10T09:42:51+09:00,도망갈 타이밍을 안주는구만
주린이예욧,2025-01-10T09:42:31+09:00,와 내리 꽂는구만
외게인인가,2025-01-10T09:41:37+09:00,이걸 왜 사가지구~~
탐욕스님,2025-01-10T09:41:36+09:00,오른거 다 토하네
박현명,2025-01-10T09:41:06+09:00,최소 6개월보고 들어가야할듯
개브럴티,2025-01-10T09:40:48+09:00,추락하는 것은 날개가 없다
콩21,2025-01-10T09:40:04+09:00,200주 물타기하면 5만6천원대인데
재로재로,2025-01-10T09:39:21+09:00,왜 오른거임 도대체 이럴꺼면? ㅋㅋㅋ 진짜 가치투자가 아니라 그냥 단타 숏 주식 다된건가 ㅋㅋㅋ
주식프로씨,2025-01-10T09:38:59+09:00,답이없다
테니스나달,2025-01-10T09:38:56+09:00,외인들 삼전 빼고 하닉가네요
재벌천사,2025-01-10T09:38:42+09:00,오늘 무조건 고고고
손해전문,2025-01-10T09:38:12+09:00,몇날몇일 팔던 외인들 또 떨궜다가 오후 막차때 또들오려나?
뿌니걸,2025-01-10T09:37:55+09:00,잡주가 맞네요
보일러댁에아버님놔드려야겠어,2025-01-10T09:37:30+09:00,4만전자각 확실
빨파뭣이중한디,2025-01-10T09:37:27+09:00,"다른건 다 수익보는데 삼성으로는 항상 존버네.
주린이는 웁니다."
테니스나달,2025-01-10T09:37:25+09:00,외인들..다나간다
Jinace,2025-01-10T09:37:22+09:00,사야되나요 ?
콩21,2025-01-10T09:37:02+09:00,사여?
강남동,2025-01-10T09:36:17+09:00,삼전으로 수익낸거는 삼전으로 다시 반납..
쬬꼬비,2025-01-10T09:35:48+09:00,사만전자 가까이오면 애개뤼 쩌어어억 하면서 받아먹고 다시 6만 가면 팔면됨
Yanogod,2025-01-10T09:35:38+09:00,55800 눌림목 깔고 매수중이네요
조팝3끼도노,2025-01-10T09:35:33+09:00,그래도 1주전에 5.4박스권에서 놀더니 이제 5.6에서 왔다갔다 하네
존버하는거야,2025-01-10T09:35:00+09:00,탈출할수있게 올해안에 7층만 와다오 비나이다비나이다
개브럴티,2025-01-10T09:34:05+09:00,지옥불 온다..돔황쳐
하이닉스3,2025-01-10T09:33:06+09:00,지금은 51 52 에 사서 56 57000에. 팔아야 한다.
장투그만,2025-01-10T09:32:55+09:00,오늘은 오를줄...
검자무적,2025-01-10T09:32:46+09:00,"진짜 이젠 기대도 없네ㅠㅠ
6층에 물린 내주식은 우짤꼬 ㅠㅠ"
쏭쏭빠르,2025-01-10T09:32:22+09:00,"젠슨황...한마디에 주식들이 춤을추는데
재드래곤형님 젠슨황하고 만나서 콜라보한번해주세요~~"
하힝히,2025-01-10T09:32:04+09:00,어제랑 같은상황이네 마감 55500원 본다
Yanogod,2025-01-10T09:31:58+09:00,"외인들 다 나갔네요 :(
혹은 단타 친다거나"
보리탱구리,2025-01-10T09:30:08+09:00,"그냥 럿웃음만나네요
ㅋㅋㅋㅋㅋ"
존버하는거야,2025-01-10T09:29:57+09:00,"응원하는 마음으로 1주 추매
평단100원 내려가네 ㅋㅋ"
화무십일홍석천,2025-01-10T09:29:53+09:00,선발대지만 어이가 없네
내돈내놔라이놈들아,2025-01-10T09:29:36+09:00,.
Yanogod,2025-01-10T09:28:54+09:00,외인도 단타치는것 같은데요...?
머스크형믿어요,2025-01-10T09:28:47+09:00,장투로 보면 진짜 괜찮은데.. 좀 더 떨어지면 다시 사야겠네
한장군2,2025-01-10T09:28:32+09:00,내려놓구 외인 매수 하는건머지?
양평동발발이,2025-01-10T09:27:23+09:00,삼전 하락에 기뻐서 둘어와 -5%를 몇달째 가지고 있네 ㅜㅜ
인튜장기체류자,2025-01-10T09:26:41+09:00,오늘부터 조금씩 사볼까나~ ㅋ
바뉘당군,2025-01-10T09:25:36+09:00,앞으로 삼전
뿌꾸두치,2025-01-10T09:25:02+09:00,레전드
초보투자러욕심노노,2025-01-10T09:24:17+09:00,걍 추매.. 한개 ㅋㅋㅋ 매달 한개씩 추매 예정
페니니,2025-01-10T09:22:49+09:00,왜 내림 ㅋㅋㅋㅋ아 죄송합니다 제가 사버려서
횡단보도그사람,2025-01-10T09:22:23+09:00,삼전은 기술력으로 이제 정말 답이 없다.
무인도왕자,2025-01-10T09:21:53+09:00,미국 정리하고 왔어요~~
재이의반도체투자,2025-01-10T09:21:48+09:00,"4. 중국 시장 보조금 정책 및 영향
중국이 보조금 지원 제품 범위를 확대:

스마트폰, 태블릿 등 포함.
판매가 15~20% 보조금, 최대 2000위안 환급.
중국 스마트폰 업체(화웨이,오포,비포) 제품에 유리한 정책이나, 삼성의 메모리칩 공급 역할은 유지.
중장기적 수혜 가능성:

삼성의 메모리칩은 중국 주요 업체들(Huawei 포함)에 필수적.
중국 시장 수요 회복 시, 삼성 및 SK하이닉스가 주요 수혜자. (전세계 스마트폰의 20~25% 비중을 차지)

5. 그외
현재 삼성전자 주가는 실적 악재가 선반영된 상태로, 바닥을 다지는 중이라는 관측.
자사주 매입과 삼성 오너가의 담보 유지 필요성 등으로 5만 원 이하 하락 가능성은 제한적.


결론
삼성전자의 4분기 실적은 실망스러운 수준이었지만, 주가는 실적 악화가 이미 반영된 상태에서 추가 하락을 방어 중입니다. 특히, DRAM 부문의 개선과 중국 이구환신 재정 정책 변화, 삼성전자 자사주 매입 계획이 긍정적 요인으로 작용하고 있습니다. 단기적 반등 가능성과 중장기적 수혜를 모두 염두에 둔 전략적 접근이 필요해 보입니다."
하하하하33,2025-01-10T09:21:41+09:00,외인은 오늘도 홀로 애국중
반드시제1원칙을,2025-01-10T09:20:12+09:00,엔비디아 납품하면 쏜다며 ㅠ
푸르른른,2025-01-10T09:19:42+09:00,"지겹다 이제
하ㅡㅡ 박스권 진쩌"
페니니,2025-01-10T09:19:18+09:00,젠승황인가 그 사람이 머라고 국장에 다시오게 되다니...
Yanogod,2025-01-10T09:18:11+09:00,호재가 있어 조금 기대해봐도 될듯..
재벌천사,2025-01-10T09:16:51+09:00,엔비디아에 초기납품
삼전35만원,2025-01-10T09:16:36+09:00,"56,100원"
테니스나달,2025-01-10T09:16:25+09:00,하닉 30만원갔으면 좋겠네요 삼전은 머 7만원만이라도 되길
재벌천사,2025-01-10T09:16:07+09:00,미래가 밝은 기업이라서......
제이투룬,2025-01-10T09:15:05+09:00,"SK는 날개짓을 하는데,
삼전은 무심히 쳐다만 보고 있구나.
넌 어쩌다 이런 회사가된거니 ~
힘 좀 내자.~"
화무십일홍석천,2025-01-10T09:13:08+09:00,얘는 답도없네
해피엔딩s,2025-01-10T09:12:39+09:00,"추매 했습니다.

오늘 불장이 될 것 같아서 기대가 큽니다.

가자 삼전!!!"
장투황태자,2025-01-10T09:11:52+09:00,삼성은 호재 나와도 닉스 뒤 꽁무니만 보고 졸졸졸 시냇물도 아니고 비참하게 기어댕기는 꼴이라니....
휴학생,2025-01-10T09:10:36+09:00,미장 열리기 전에 잠깐 놀다가야징
짜호룽,2025-01-10T09:10:26+09:00,배당금 받은걸로 계속 조금씩 살게. .
