Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap,Risk
319640,TIGER 골드선물(H),0.92,-0.64,-0.022009226789216414,해외주식,32884,561,579,2
483330,ACE 마이크로소프트밸류체인액티브,1.84,-3.3,-0.07251524578426534,해외주식,104289,1298,572,2
423170,SOL 한국형글로벌반도체액티브,1.86,6.85,0.4437119924053003,해외주식,14717,283,571,3
203780,TIGER 미국나스닥바이오,1.22,-3.12,-0.05944230493847538,해외주식,19022,447,570,2
329660,KODEX TRF5050,0.62,-0.4,0.019040066234780422,기타,23509,380,566,1
487910,ACE 인도컨슈머파워액티브,1.43,1.45,0.22060192470067827,해외주식,61246,680,560,2
204450,KODEX 차이나H레버리지(H),2.85,-0.15,-0.014994272995903933,해외주식,231587,461,560,3
455960,RISE 미국달러SOFR금리액티브(합성),0.51,2.51,0.20611891291661225,채권,4487,54,559,1
469150,ACE AI반도체포커스,2.58,22.88,1.0857223136290215,국내 업종/테마,191155,2628,546,3
440640,ACE 단기채권알파액티브,0.02,0.29,0.01735289075791692,채권,4557,496,544,1
278620,PLUS 단기채권액티브,0.03,0.28,0.015146724578688856,채권,1798,208,539,1
454320,HANARO CAPEX설비투자iSelect,1.85,12.38,0.4283155303624405,국내 업종/테마,8637,123,529,2
442320,RISE 글로벌원자력,1.6,0.66,-0.1101371756847713,해외주식,68194,1392,522,2
490600,RISE 미국배당100데일리고정커버드콜,0.65,-1.61,-0.05904042792003307,해외주식,131039,1337,511,1
447620,SOL 미국TOP5채권혼합40 Solactive,0.65,1.59,0.1433723435686127,기타,52943,727,508,1
261270,KODEX 미국달러선물인버스,0.46,-2.28,-0.19696541731562112,기타,78381,603,507,1
395170,KODEX Top10동일가중,1.48,4.11,0.1367032616315711,국내 업종/테마,1864,13,506,2
469070,RISE AI&로봇,4.38,27.46,1.01844669737744,국내 업종/테마,943280,8572,502,3
272910,ACE 중장기국공채액티브,0.13,-0.03,-0.0027781313033227294,채권,3,0,501,1
461600,SOL 미국30년국채액티브(H),0.7,-7.51,-0.4244089483293368,채권,18908,166,498,1
407830,에셋플러스 글로벌플랫폼액티브,2.1,3.29,0.4042601353164914,해외주식,11912,164,497,3
329670,KODEX TRF7030,0.98,0.08,0.07375066818651804,기타,35996,681,494,2
484890,SOL 머니마켓액티브,0.01,0.26,0.014186476306496696,채권,833,42,490,1
484880,SOL 금융지주플러스고배당,1.54,0.14,-0.19468948779229456,국내 업종/테마,70379,755,480,2
464920,PLUS 일본반도체소부장,1.31,-1.52,-0.053590340061857956,해외주식,3098,40,480,2
251600,PLUS 고배당주채권혼합,0.52,-1.01,-0.1237268250235784,기타,54164,663,478,1
403790,마이다스 코스피액티브,1.41,6.95,0.24698788550195916,국내 시장지수,88,1,476,2
322400,HANARO e커머스,2.24,2.27,-0.10081790392563618,국내 업종/테마,3119,29,469,3
465660,TIGER 일본반도체FACTSET,1.27,1.21,0.05525286961098885,해외주식,7406,86,462,2
